SMILES,Hf(298K),S(298.15),C300,C400,C500,C600,C800,C1000,C1500
COO,-30.08,67.3,14.34,16.8,19.09,21.07,24.19,26.52,30.25
C=O,-26.53,52.21,8.43,9.3,10.33,11.36,13.18,14.6,16.84
O=COO,-65,68.23,15.19,17.45,19.44,21.09,23.58,25.33,27.98
O=CO,-86.52,59.5,10.99,12.88,14.57,16,18.19,19.77,22.22
OCOO,-75.12,70.26,17.39,21.09,24.2,26.67,30.25,32.75,36.66
CO,-48.03,57.26,10.46,12.21,14.12,15.9,18.85,21.16,24.96
C1CO1,-12.49,57.86,11.17,14.54,17.68,20.31,24.32,27.21,31.61
C#C,54.99,47.63,10.04,11.58,12.69,13.54,14.85,15.9,17.76
CC=O,-39.76,62.7,13.31,16.01,18.59,20.88,24.59,27.39,31.75
C=CO,-29.65,61.08,13.5,16.66,19.38,21.61,25.01,27.52,31.56
CC(=O)OO,-82.75,72.39,19.73,23.79,27.41,30.5,35.38,38.95,44.2
CC(=O)O,-103.33,68.19,15.57,19.07,22.15,24.73,28.72,31.62,36.15
C(COO)=O,-55.6,74.03,19.71,23.84,27.44,30.43,34.95,38.17,43
C=C,12.43,52.32,10.18,12.52,14.74,16.67,19.79,22.18,26.05
OCC=O,-75.91,67.42,16.27,19.73,22.86,25.53,29.67,32.67,37.26
C=COO,-8.76,71.31,16.85,20.44,23.52,26.01,29.72,32.38,36.54
CC,-20.31,54.46,12.25,15.34,18.43,21.24,25.9,29.52,35.34
OC1CO1,-57.3,68.45,15.52,19.33,22.62,25.3,29.25,32.05,36.37
CCO,-56.08,67.3,15.67,19.15,22.46,25.34,29.95,33.47,39.17
COC=O,-86.48,68.03,15.35,18.33,21.31,23.97,28.24,31.39,36.19
COC,-44.25,63.81,15.68,18.79,21.92,24.79,29.6,33.34,39.29
C=C=O,-12.03,57.65,12.26,14.07,15.53,16.73,18.63,20.08,22.41
C#CO,22.29,58.85,13.17,14.97,16.3,17.34,18.92,20.14,22.25
O=CC=O,-51.45,64.89,14.31,16.78,19.11,21.11,24,25.81,28.1
CCOO,-38.32,72.51,19.78,23.91,27.68,30.9,35.98,39.77,45.8
COCOO,-70.64,77.97,22.81,27.13,31.16,34.65,40.15,44.21,50.54
O=COCOO,-106.14,81.94,23.64,28.03,31.88,35.04,39.72,42.99,47.86
C1C(O1)C(OO),-40.94,78.7,23.16,29.47,34.97,39.46,46.12,50.79,57.8
C1C(OO)C(O1),-39.58,82.6,23.56,29.63,35.03,39.45,45.97,50.5,57.25
CC(=O)COO,-69.13,84.64,24.54,30.14,35.06,39.18,45.46,49.99,56.9
C=C(COO)O,-56.66,81.96,25.8,31.61,36.51,40.46,46.32,50.49,56.96
CC=CO,-35.45,70.21,20.38,24.38,27.88,30.85,35.55,39.13,44.93
C#CC,44.56,58.92,14.22,17.03,19.46,21.53,24.85,27.42,31.6
CC1CO1,-22.55,68.38,17.16,21.84,26.09,29.69,35.28,39.39,45.75
C=C=C,45.17,59.35,13.92,16.97,19.58,21.73,25.11,27.66,31.76
C1COC1,-18.96,65.92,15.07,20.22,25.03,29.09,35.3,39.76,46.49
C1=CC1,68.58,57.95,12.29,15.78,18.78,21.22,24.9,27.58,31.75
C=C(C)O,-40.39,68.84,19.26,23.77,27.64,30.86,35.88,39.63,45.64
C=CCO,-29.52,73.64,19.7,23.82,27.45,30.5,35.32,38.95,44.83
CCC=O,-44.5,72.93,19.83,22.95,26.28,29.38,34.57,38.57,44.87
CC(C)=O,-52.02,73.07,17.56,21.63,25.46,28.82,34.23,38.3,44.69
C=CC,4.9,63.59,15.34,19.06,22.53,25.55,30.43,34.15,40.1
C1CC1,13.54,56.64,13.22,17.97,22.19,25.68,30.97,34.83,40.9
O=C(C)OC,-99.1,76.75,20.4,24.84,29.11,32.86,38.86,43.3,50.15
C(=O)OC(=O)C(=O),-134.49,83.35,25.4,29.62,32.82,35.17,38.38,40.53,43.63
OCCC=O,-82.2,74.51,22.16,27.84,32.62,36.39,41.86,45.74,51.78
OOCC(=O)C=O,-80.49,85.92,26.55,31.64,35.99,39.58,44.94,48.69,54.2
C=CCOO,-11.92,77.2,22.54,27.41,31.8,35.48,41.1,45.18,51.5
CCC,-25.12,66.91,17.76,22.4,26.71,30.46,36.54,41.23,48.77
C=C(C)OO,-19.43,78.88,22.62,27.42,31.6,35.08,40.44,44.37,50.56
C(=O)CC(OO)O,-110.85,87.91,28.47,34.84,40.32,44.81,51.53,56.26,63.41
C#CC=O,31.66,65.46,14.96,17.32,19.25,20.84,23.3,25.12,27.91
CCC(=O)O,-108.13,78.22,22.12,26.38,30.44,33.96,39.56,43.72,50.23
CCCO,-60.99,75,21.18,26.43,31.25,35.36,41.82,46.66,54.34
CC(O)C,-65.41,74.18,21.63,26.8,31.42,35.31,41.43,46.05,53.5
O=CC=C=O,-40.58,70.86,17.21,20.24,22.77,24.85,28.02,30.26,33.53
OCC#C,12.36,68.11,17.57,21.03,23.94,26.32,29.99,32.72,37.09
CCCOO,-42.93,82.08,25.36,31.02,36.06,40.34,47.04,52.05,59.99
C(OO)OC(=O)C(=O),-130.15,95.39,31.58,36.64,40.68,43.93,48.8,52.26,57.45
C=CC=O,-15.73,66.71,16.79,20.58,23.79,26.41,30.36,33.15,37.27
CC(C)OO,-47.59,79.16,25.67,31.39,36.42,40.64,47.25,52.18,60.03
C1OC1C=O,-39.55,70.54,17.76,22.17,26.12,29.4,34.34,37.81,42.92
C(C(COO)=O)OO,-84.36,91.18,31.9,38.93,44.85,49.65,56.75,61.71,69.12
CC(=O)C=O,-65.53,74.57,19.25,22.89,26.22,29.09,33.63,36.95,41.97
COC(=O)C(=O),-108.37,81.12,23.33,27.04,30.45,33.42,38.12,41.55,46.73
C=C=C(OO),30.92,80.14,22.37,25.58,28.39,30.72,34.33,37.01,41.29
O=CCC=O,-60.84,81.06,17.87,21.66,25.13,28.11,32.77,36.14,41.15
CC(O)=C=O,-45.09,74.49,21.46,24.78,27.59,29.97,33.74,36.57,41.08
CC(C=O)OO,-65.18,81.47,25.7,31.16,35.89,39.85,45.93,50.34,57.1
C=C(O)C=O,-62.52,70.74,19.3,23.67,27.32,30.29,34.76,37.94,42.79
O=CCCOO,-62,83.98,24.7,30.26,35.18,39.3,45.62,50.16,57.05
OC(C=O)COO,-102.4,86.82,30.2,36.18,41.33,45.54,51.8,56.2,62.9
C#CC#C,110.76,58.97,16.8,19.46,21.27,22.63,24.68,26.25,28.82
CC(OO)C(O)C,-93.96,91.14,35.73,44.09,50.94,56.37,64.46,70.39,79.94
CCC(O)(OO)C,-102.2,90.86,34.83,42.78,49.47,54.98,63.44,69.69,79.63
CC(C)(OO)CO,-94.8,90.01,35.66,44.01,50.88,56.35,64.49,70.44,79.98
C#CC=C,69.5,66.19,16.97,20.68,23.71,26.16,29.92,32.72,37.18
CC(C)(O)COO,-94.16,89.62,34.29,42.51,49.48,55.17,63.78,70.05,79.9
C(OO)C(C)CO,-88.58,87.93,32.35,40.67,48.01,54.16,63.6,70.46,81.11
C(OO)CC(O)C,-91.24,86.94,32.23,40.83,48.3,54.47,63.87,70.67,81.21
CC(OO)CCO,-90.98,87.52,32.35,40.78,48.16,54.3,63.69,70.52,81.12
C(OO)CCCO,-87.52,87.32,31.14,39.77,47.49,53.95,63.82,70.95,81.88
C#CCC,40.42,74.78,19.51,23.71,27.29,30.29,35.09,38.79,44.81
COC(=O)C(=O)C(=O),-130.84,97.33,29.33,33.98,38.08,41.61,47.13,51.1,56.96
C=CC=C,26.85,66.43,18.8,24.22,28.7,32.2,37.23,40.79,46.38
CC(=O)C(=O)COO,-94.81,92.67,31.81,38.24,43.84,48.5,55.57,60.6,68.14
C=C=CC,38.78,69.63,18.91,23.16,26.99,30.27,35.49,39.44,45.71
C(=O)C(OO)C(=O)C,-93.94,91.5,31.64,38.22,43.9,48.59,55.68,60.71,68.23
CC#CC,35.42,71.97,19.5,23.42,27.14,30.42,35.79,39.9,46.43
CC(C(=O)C=O)OO,-90.25,91.6,32.49,38.87,44.35,48.9,55.85,60.8,68.26
CCCCO,-66.28,79.65,25.08,31.91,38.26,43.73,52.38,58.83,68.96
CCCCOO,-48.34,88.09,30.18,37.4,43.96,49.55,58.3,64.78,74.93
C(=O)CC(=O)COO,-91.55,97.29,32.18,38.65,44.05,48.5,55.25,60.1,67.42
CCC(O)C,-70.64,81.66,26.32,33.01,39.08,44.25,52.42,58.55,68.29
CCC(C)OO,-52.67,86.18,30.31,37.59,44.12,49.65,58.31,64.75,74.87
CC(C)CO,-68.04,80.55,26.21,32.84,38.9,44.08,52.29,58.46,68.26
CC(C)COO,-50.63,85.39,29.98,37.46,44.14,49.76,58.48,64.91,74.99
CC(C)(O)C,-75.23,78.11,27.84,34.74,40.68,45.59,53.16,58.82,67.93
CC(C)(C)OO,-57.27,85.1,31.72,39.1,45.41,50.63,58.71,64.73,74.33
OC=C=CC=O,-19.16,77.35,24.31,29.12,32.8,35.67,39.94,43.01,47.76
C=C(C)C,-3.75,69.96,21.1,26.18,30.81,34.82,41.32,46.28,54.21
OC1=CC=CO1,-49.06,71.53,20.82,26.01,30.36,33.83,38.83,42.25,47.36
C=CCC,0.54,73.02,20.7,26.19,31.13,35.29,41.82,46.7,54.45
O=CC(=C)C=O,-41.24,78.35,22.33,26.86,30.84,34.2,39.37,43.06,48.51
OOCC(C=C)OO,-38.97,96.45,34.22,42.19,48.99,54.51,62.74,68.58,77.53
CC=CC,-2.35,70.62,20.96,25.79,30.39,34.45,41.06,46.12,54.15
O=CC=CC=O,-41.97,77.05,22.15,26.6,30.61,34.02,39.27,43.01,48.51
OOCC=CCOO,-36.83,100.49,37.97,45.34,51.25,56.01,63.27,68.59,77
OOCC=CC=O,-39.9,90.7,28.74,34.59,39.82,44.18,50.82,55.54,62.67
CCC(=O)C(OO)O,-121.89,95.83,35.56,42.64,48.84,54.03,61.98,67.74,76.64
COC(=O)CC(=O),-120.71,93.18,27.19,32.4,37.31,41.58,48.31,53.22,60.61
CCC(OO)C(=O)O,-134.2,94.01,34.72,42.41,48.9,54.2,62.19,67.92,76.74
CC(OO)C=C=O,-44.73,86.9,29.75,35.85,40.92,45.04,51.27,55.76,62.68
CCC(O)(OO)C=O,-120.02,95.82,35.91,43.36,49.67,54.84,62.64,68.24,76.91
C(OO)CC=C=O,-39.14,91.95,30.09,36.18,41.23,45.32,51.49,55.93,62.77
C(=O)C(C)C(OO)O,-118.67,91.85,34.17,41.96,48.65,54.16,62.48,68.43,77.53
CCCC,-29.88,74.7,23.24,29.22,34.81,39.67,47.5,53.47,62.97
OOCC(=C)C=O,-42.06,81.6,25.83,32.23,37.75,42.31,49.2,54.09,61.45
C(OO)C(C)C(=O)O,-133.85,93.46,34.48,42.34,48.95,54.32,62.33,68.04,76.81
CC(=O)CC(OO)O,-125.14,92.31,33.73,41.54,48.3,53.86,62.26,68.25,77.4
C#CC=C=O,48.98,70.58,18.6,21.68,23.97,25.76,28.45,30.42,33.46
CC(=O)C(O)(OO)C,-129.1,93.72,35.06,42.53,48.87,54.09,62.01,67.72,76.59
C#CC1=C(O1),117.35,72.87,19.63,22.67,24.9,26.6,29.11,30.92,33.72
C(OO)C(=O)C(O)C,-113.71,93.08,34.7,42.49,49.12,54.56,62.76,68.63,77.61
CC(=O)C(O)COO,-115.79,95.77,36.3,44.04,50.14,54.99,62.29,67.63,76.06
C(=O)C(OO)C(O)C,-110.53,91.81,34.13,42.04,48.78,54.3,62.6,68.52,77.56
CC(=O)C(OO)CO,-115.54,92.26,33.68,41.41,48.15,53.72,62.15,68.17,77.36
CC(OO)CC(=O)O,-137.11,90.17,33.39,41.48,48.33,53.92,62.3,68.27,77.4
CC(=O)C=CO,-70.29,80.78,24.53,30.04,34.91,39,45.25,49.77,56.7
CC(OO)C(O)C=O,-112.02,93.86,34.83,42.5,49.11,54.54,62.75,68.61,77.6
O=CCC(=O)C,-74.52,80.43,23.06,28.32,33.05,37.09,43.41,48.04,55.11
CC(OO)C(=O)CO,-114.6,94.21,35.27,42.75,49.21,54.57,62.7,68.54,77.53
C=CC=C=O,5.9,72.22,19.6,23.82,27.35,30.25,34.68,37.89,42.82
OOCC=C=C,21.71,86.03,27.07,32.09,36.49,40.16,45.78,49.89,56.3
CC(C)(OO)C(=O)O,-138.81,89.71,35.23,42.99,49.39,54.58,62.38,68,76.72
C=C=CC=O,16.85,72.46,19.68,23.82,27.34,30.27,34.76,38.02,42.95
COC(=O)C=C,-73.51,79.04,23.93,29.29,34.18,38.35,44.84,49.54,56.71
C(=O)C(C)(OO)CO,-112.71,91.61,36.72,44.49,50.6,55.46,62.85,68.29,76.86
C#CCC=O,22.8,74.47,20.1,24.16,27.57,30.39,34.76,37.96,42.88
C=COC(C)=O,-75.78,81.76,24.56,30.6,35.65,39.67,45.58,49.79,56.3
C(=O)C(C)(O)COO,-113.03,91.28,35.72,43.91,50.47,55.62,63.21,68.64,77.1
C1=CC=CO1,-7.64,63.62,15.31,20.73,25.29,28.89,34.04,37.54,42.67
CC(=O)C1CO1,-52.4,79.71,22.7,28.59,33.84,38.24,44.91,49.67,56.83
C(=O)CC(O)(OO)C,-123.09,91,34.76,42.69,49.34,54.75,62.88,68.69,77.62
CC1C(=O)CO1,-54.3,77.49,23.18,29.13,34.33,38.65,45.23,49.95,57.03
C(=O)C(COO)CO,-108.79,91.46,32.43,40.62,47.75,53.65,62.53,68.82,78.28
O=C1COCC1,-68.88,73.9,21.19,27.64,33.35,38.09,45.24,50.28,57.72
C(=O)CC(OO)CO,-110.27,91.12,32.85,41,48.08,53.92,62.68,68.88,78.26
C(=O)C(OO)CCO,-108.08,92.1,33.02,41.09,48.13,53.95,62.71,68.92,78.3
C(=O)CC(O)COO,-110.73,91.72,33.51,42.03,49.24,55,63.37,69.18,77.94
OOCC=CCO,-54.88,84.14,30.66,37.37,43.27,48.22,55.97,62.17,74.83
C(OO)C(=O)CCO,-111.64,94.37,33.41,41.41,48.39,54.15,62.81,68.96,78.28
CCC(=O)COO,-74.1,90.96,31.22,37.59,43.46,48.48,56.35,62.11,70.99
C(=O)CCC(OO)O,-118.83,92.91,32.92,41.03,48.08,53.9,62.67,68.89,78.29
C(OO)CC(O)C=O,-110.6,92.34,33.18,41.28,48.31,54.1,62.81,68.99,78.32
OOCCC(=O)C,-76.22,87.86,29.49,36.69,43.1,48.48,56.73,62.69,71.79
C(OO)CC(=O)CO,-112.99,93.4,33.22,41.21,48.2,53.99,62.71,68.9,78.28
C1CC(O1)C(OO),-49.57,81.65,27.32,35.89,43.3,49.22,57.74,63.59,72.32
C(OO)CCC(=O)O,-135.9,91.3,32.3,40.62,47.79,53.68,62.51,68.75,78.18
C1C(OO)C(O1)C,-51.15,87.42,29.35,36.87,43.5,48.98,57.24,63.11,72.03
C1C(O1)CC(OO),-48.09,84.96,28.09,36.01,42.99,48.76,57.39,63.5,72.71
C1C(OO)CC(O1),-65.85,85.88,27.29,35.25,42.37,48.27,57.1,63.32,72.63
C=C(COO)COO,-40.77,92.42,33.39,41.68,48.74,54.49,63.06,69.14,78.37
C1C(O1)C(OO)C,-51.05,84.96,29.2,36.89,43.54,48.99,57.19,63.04,71.94
C(OO)C1C(O1)C,-51.54,85.68,29.16,36.7,43.29,48.76,57.02,62.93,71.92
CCC(C=O)OO,-70.31,90.59,31.23,38.14,44.19,49.25,57.02,62.66,71.33
CC(CC=O)OO,-72.13,88.28,32.01,39.52,45.54,50.34,57.61,62.97,71.38
C=C=CCO,3.59,78.07,24.59,28.74,32.36,35.46,40.45,44.26,50.41
O=CCCCOO,-71.66,86.32,29.14,36.64,43.3,48.88,57.41,63.53,72.78
C=CC=CO,-14.55,72.75,22.53,27.88,32.37,36,41.43,45.35,51.5
CC(C=O)COO,-69.5,90.73,31.59,38.21,44.1,49.08,56.81,62.47,71.19
C=CCC=O,-18.14,80.51,21.3,26.01,30.27,33.91,39.66,43.92,50.5
CC(C)(C=O)OO,-74.89,88.6,33.76,40.56,46.08,50.56,57.46,62.58,70.69
CC(=O)C=C,-26.81,74.37,21.36,26.22,30.6,34.34,40.19,44.52,51.22
C=C(C)C(O)OO,-67.28,91.23,33.4,39.75,45.3,49.97,57.2,62.54,70.97
O1CCC=C1,-18.03,68.7,17.66,23.74,29.14,33.59,40.26,44.97,52.02
C=CC(CO)OO,-57.99,91.13,33.53,40.97,46.91,51.5,58.18,63,70.72
O1CC=CC1,-14.62,67.97,17.64,23.65,29.04,33.51,40.25,45.01,52.1
CC=C(O)C(OO),-63.86,90.47,31.86,38.76,44.66,49.49,56.79,62.07,70.32
C=C(C)C=O,-25.49,74.33,21.26,26.04,30.4,34.15,40.1,44.49,51.27
C=CC(O)C(OO),-57.5,87.05,31.67,39.4,45.7,50.73,58.2,63.58,72
CC(C)=C=O,-21.42,75.16,22.55,26.67,30.51,33.91,39.46,43.7,50.35
C=C(O)C(C)OO,-66.38,86.73,31.94,39.38,45.57,50.57,58.07,63.49,71.95
C=CC1CO1,2.92,74.52,20.56,26.27,31.13,35.06,40.91,45.09,51.53
CC=CC=O,-24.75,74.31,21.26,25.94,30.28,34.06,40.06,44.49,51.29
CCC=C=O,-21.04,73.69,21.77,26.82,31.2,34.86,40.58,44.81,51.41
CC(=O)CCO,-95.34,82.2,25.97,32.59,38.57,43.63,51.49,57.21,66.04
CC(=O)OCC,-107.33,81.99,25.79,32.19,38,42.97,50.75,56.47,65.28
CCC1C(O1)O,-72.71,86.04,26.9,33.46,39.19,43.93,51.17,56.44,64.66
CCC(O)(O1)C1,-74.5,85.09,27.22,33.92,39.65,44.35,51.46,56.64,64.74
C1C(O1)C(O)C,-69.21,79.34,26.31,34.06,40.58,45.68,52.97,58.05,65.93
CC1CC(O1)O,-78.73,80.7,25.73,32.9,39.12,44.2,51.8,57.23,65.59
C1C(C)C(O1)O,-75.81,80.98,25.45,32.42,38.63,43.77,51.54,57.09,65.56
CC1C(O)(O1)C,-79.08,84.2,27.7,33.97,39.46,44.05,51.15,56.38,64.6
CC1C(O1)CO,-69.45,80.84,25.89,32.71,38.81,43.93,51.77,57.44,66.16
CC(O1)C(O)C1,-69.62,81.43,25.22,32.04,38.15,43.27,51.07,56.7,65.33
CC1(C)C(O1)O,-78.08,83.73,27.5,33.68,39.15,43.76,50.94,56.23,64.52
C1C(C)(O1)CO,-70.35,79.59,26.06,32.88,38.94,44.02,51.81,57.46,66.16
C1CC(O)(O1)C,-80.79,79.54,26.25,33.34,39.53,44.58,52.1,57.46,65.69
C1C(C)(O)CO1,-69.85,78.23,25.39,32.53,38.8,43.94,51.66,57.16,65.59
C1C(CO1)CO,-62.19,81.56,24.35,31.36,37.77,43.11,51.15,56.85,65.47
C1C(O1)CCO,-64.84,78.8,24.52,31.84,38.4,43.85,52.1,57.98,66.94
C(=O)CCCO,-86.94,81.84,26.05,32.7,38.74,43.85,51.76,57.5,66.27
C1CC(O1)CO,-67.78,77.88,24.2,31.99,38.81,44.32,52.38,58,66.51
C(O1)CC(O)C1,-83.64,77.73,23.93,31.14,37.63,43.04,51.25,57.11,66.03
C1CCC(O1)O,-92.98,76.23,24.43,32.22,38.8,44.09,51.96,57.59,66.22
C=CCOOC,-10.73,85.94,27.54,33.67,39.26,44.03,51.5,57.01,65.56
C(O)CC=C,-36.68,77.33,26.16,31.96,36.79,40.83,47.22,52.09,59.93
CC=CCOO,-19.6,87.65,29.8,35.21,40.24,44.61,51.53,56.69,64.81
CC=CCO,-37.53,80.7,26.55,31.12,35.48,39.39,45.83,50.79,58.78
C=CC(C)OO,-21.5,87.43,29.97,35.94,41.1,45.41,52.1,57.07,64.96
CCC=CO,-40.44,77,25.53,31.24,36.14,40.22,46.6,51.4,59.12
C=C(C)COO,-20.53,85.76,28.47,34.91,40.45,45.04,52.14,57.37,65.61
CC=C(O)C,-45.08,78.81,24.84,30.33,35.22,39.38,45.96,50.92,58.86
CC(C)(C=O)O,-95.16,79.82,28.5,35.05,40.61,45.21,52.29,57.52,65.71
CC(O)C=C,-39.36,81.26,27.02,32.36,36.93,40.78,46.88,51.54,59.13
C(=O)C(O)CC,-90.27,84.37,27.55,34.03,39.76,44.55,51.95,57.35,65.7
CCC(O)=C,-44.73,78.55,25.89,32.15,37.31,41.44,47.65,52.22,59.54
CC(O)C(=O)C,-98.12,82.77,27.14,33.59,39.28,44.07,51.47,56.92,65.4
CC(C)=CO,-43.32,79.69,24.39,29.9,34.85,39.07,45.76,50.8,58.82
CCC(=O)CO,-94.22,85.61,27.3,33.2,38.71,43.48,51.02,56.59,65.26
C=C(C)CO,-38.56,79.12,25.08,30.87,35.93,40.18,46.85,51.85,59.82
C=CCCOO,-17.56,86.34,30.63,36.65,41.74,45.99,52.64,57.66,65.69
C1CCCO1,-43.67,71.75,19.19,26.14,32.57,38,46.32,52.31,61.32
CCC1CO1,-27.53,78.12,22.44,28.72,34.33,39.04,46.32,51.66,59.94
CC1CCO1,-30.13,72.82,21,27.7,33.73,38.78,46.53,52.14,60.72
CC1OC1C,-31.42,75.68,22.26,28,33.44,38.15,45.59,51.1,59.64
CC1(C)CO1,-33.1,74.12,23.4,29.44,34.8,39.34,46.43,51.7,59.93
CC(C)C=O,-51.04,80.03,24.52,29.75,34.59,38.83,45.68,50.88,59.06
C1C(C)CO1,-26.57,71.84,20.91,27.47,33.45,38.52,46.34,52.01,60.68
CCCC=O,-49.43,78.45,24.55,29.69,34.61,38.99,46.09,51.47,59.87
CCC(C)=O,-56.89,82.4,24.45,29.21,33.94,38.18,45.14,50.44,58.79
CCCC(OO)O,-96.11,97.98,34.94,42.47,49.01,54.47,62.88,69.09,78.93
CCC(OO)CO,-89.28,94.29,34.95,43.11,50,55.57,63.98,70.13,79.89
CCC(O)COO,-89.51,97.05,35.64,43.5,50.29,55.79,64,69.94,79.36
CC(C)C(OO)O,-98.24,89.61,33.87,41.95,48.97,54.79,63.7,70.22,80.45
O=CCCC=O,-70.31,80.68,23.88,29.54,34.65,39.01,45.76,50.64,57.93
CC1COC1C,-36.85,81.08,26.6,34.58,41.78,47.86,57.29,64.19,74.78
CCC(OO)CC,-57.48,94.15,36.25,45.06,52.86,59.43,69.64,77.22,89.15
CC1CCOC1,-50.99,78.01,25.14,33.47,41.07,47.49,57.4,64.59,75.52
CCC(C)COO,-54.92,95.8,36.53,45.1,52.76,59.28,69.53,77.16,89.16
CC1C(C)(C)O1,-42.11,83.96,28.61,35.65,42.16,47.78,56.72,63.39,73.81
CCC(C)(C)OO,-62.27,94.56,35.92,44.86,52.71,59.3,69.53,77.13,89.08
CC1(C)CCO1,-41.09,82.33,27.27,35.48,42.71,48.71,57.93,64.64,75
CC(C)C(C)OO,-59.08,94.14,35.49,44.34,52.22,58.86,69.23,76.91,88.96
CC(C)C1CO1,-34.67,84.68,28.65,36.41,43.29,49.01,57.81,64.26,74.3
CC(C)CCOO,-55.47,90.65,35.11,44.27,52.44,59.31,69.95,77.77,89.97
C#CCC=C,66.39,76.21,22.97,27.73,31.87,35.33,40.76,44.83,51.28
CC1(C)COC1,-35.6,76.44,27.22,35.3,42.45,48.45,57.72,64.51,74.96
CC(C)(C)COO,-58.28,93.15,35.95,45.07,53.07,59.68,69.72,77,88.28
C1C=CC=C1,33.1,66.78,17.87,24.33,29.81,34.23,40.73,45.29,52.15
CC(=O)CCC,-62.03,87.13,29.24,36.19,42.59,48.12,56.93,63.55,73.91
C=C=CC=C,60.8,73.54,21.74,27.13,31.73,35.51,41.32,45.58,52.22
CCC(=O)CC,-61.7,91.07,30.92,36.48,42.2,47.41,55.98,62.54,72.88
OOCC(=C)C(=O)CO,-89.42,101.34,38.93,46.97,53.78,59.38,67.84,73.89,83.15
CC(=O)C(C)C,-63.13,89.76,28.44,35.48,41.98,47.6,56.56,63.26,73.74
OOCC(=CCO)C=O,-81.77,104.64,38.4,45.93,52.56,58.07,66.43,72.39,81.49
CC(C)(C)C=O,-59.37,84.25,30.41,37.47,43.7,48.98,57.32,63.59,73.47
OCC(C(=C)C=O)OO,-87.72,95.99,36.03,44.78,52.28,58.42,67.62,74.09,83.83
C(OO)OC(=O)C=CC,-106.45,95.65,36.98,45.85,53.17,58.95,67.38,73.35,82.49
COC(=O)C=CC(OO),-97.78,102.45,38.31,45.39,51.95,57.57,66.28,72.56,82.1
C(OO)OC(=O)CC=C,-101.16,103.65,37.2,45.66,52.57,58.09,66.35,72.29,81.45
COC(=O)C(OO)C=C,-97.15,100.9,37.14,44.63,51.45,57.21,66.05,72.39,82.01
C(=O)C(=O)CCC(=O),-95.89,94.12,34.38,40.33,45.16,49.22,55.66,60.44,67.74
C=CC1CC1,32.05,74.13,23.23,29.52,35.14,39.84,47.06,52.35,60.64
C(=O)CC(=O)CC(=O),-96.59,100.36,34.07,39.24,43.87,47.93,54.46,59.3,66.63
C=CC=CC,19.02,75.35,23.44,29.4,34.81,39.44,46.71,52.12,60.59
C1C(=O)C(OO)C=C1,-36.6,86.12,28.92,36.67,43.16,48.38,56.01,61.27,69
CC(=C)C=C,18.38,73.7,23.64,29.99,35.45,40.01,47.11,52.38,60.68
C1(OO)C(=O)C=CC1,-41.09,85.51,28.51,36.26,42.81,48.08,55.81,61.12,68.93
C1C(=O)C=CC1(OO),-41.15,88.07,29.26,36.92,43.37,48.55,56.1,61.3,68.97
C#CCCC,34.82,78.35,24.35,30.47,35.71,40.05,46.83,51.91,59.96
C1=CCCC1,9.12,67.91,19.37,26.62,33.09,38.47,46.63,52.49,61.37
C=CCC=C,25.81,80.53,23.7,29.53,34.78,39.24,46.26,51.5,59.76
C(OO)OC(=O)CCC,-132.87,105.2,40.99,49.52,56.64,62.64,72.07,79.07,89.98
COC(=O)C(OO)CC,-130.66,101.98,39.61,48.17,55.82,62.29,72.29,79.56,90.72
CCCCCO,-70.98,92.66,31.18,39.19,46.62,53.02,63.11,70.64,82.47
CC(=CC=O)COO,-47.72,99.75,35.43,41.88,47.86,53.01,61.05,66.92,75.91
COC(=O)CC(OO)C,-133.72,97.33,38.25,47.28,55.31,62.07,72.45,79.95,91.4
CC(C)CCO,-72.72,85.88,30.68,39.14,46.85,53.4,63.66,71.27,83.24
OOCC(=C)C=CO,-39.94,91.6,35.49,43.38,49.96,55.26,63.07,68.59,77.06
COC(=O)CCC(OO),-132.61,96.67,37.18,46.43,54.78,61.84,72.66,80.43,92.18
CCC(C)CO,-72.09,96.15,31.65,39.55,46.89,53.18,63.06,70.39,81.89
CC(=C)C(C=O)OO,-47.12,95.84,35.5,42.42,48.57,53.78,61.85,67.73,76.76
CCCC(=O)C(OO)O,-127.1,102.12,39.92,49.11,57.07,63.65,73.62,80.78,91.75
C1CC(=O)C(OO)C1,-66.62,87.41,30.44,39.16,46.71,52.9,62.13,68.61,78.27
CCCC(OO)C(=O)O,-139.53,101.02,39.71,49.01,56.99,63.57,73.53,80.69,91.69
C1CC(=O)CC1(OO),-69.1,89.88,31.19,39.84,47.3,53.39,62.46,68.82,78.33
CCC(=O)CC(OO)O,-130.73,100.31,40.94,49.82,57.37,63.67,73.41,80.52,91.55
C(=O)OC(=O)CCC,-138.44,97.33,34.7,41.38,47.47,52.67,60.83,66.81,75.95
CCC(=O)C(OO)CO,-120.74,100.82,40.1,49.03,56.86,63.38,73.33,80.52,91.58
CCC=CC,-7.12,81.48,26.15,32.6,38.55,43.71,52.02,58.32,68.3
COC(=O)CCC(=O),-129.75,95.68,33.97,41.52,47.99,53.32,61.43,67.28,76.2
CCC(OO)CC(=O)O,-142.53,99.36,39.36,48.99,57.13,63.76,73.69,80.8,91.72
CCCC=C,-4.5,83.08,26.27,32.9,39.02,44.25,52.54,58.75,68.55
O=CC1=CC=CO1,-37.31,75.84,22.02,28.21,33.47,37.7,43.84,47.99,53.92
