SMILES,Hf(298K),S(298.15),C300,C400,C500,C600,C800,C1000,C1500
C=C=C1C=CC(=C1)C,75.89,85,31.04,39.49,46.67,52.55,61.41,67.73,77.29
C(OO)C(C)(C)CC(C)=C,-46.71,107.1,49.08,61.79,73.04,82.44,96.92,107.5,123.91
C1=CC(C=C)=CC=C1,36.09,81.94,28.15,37.45,45.36,51.73,61.1,67.62,77.29
CC(C)(C)C(OO)C(C)=C,-49.91,104.97,50.04,63.16,74.54,83.9,98.1,108.38,124.32
CC(C)(C)CC(O1)(COO)C1,-76.18,107.9,50.58,64.98,77.39,87.52,102.69,113.5,130
CC(C)(C)CC(COO)=C,-45.43,103.24,49.56,63.29,74.99,84.5,98.76,108.99,124.74
C(OO)C(C)(C)CC(CO1)C1,-71.05,104.9,45.95,59.46,71.81,82.23,98.2,109.7,127.3
CC(C)(C)C(OO)C(CO1)C1,-74.56,104.26,49.03,63.58,76.25,86.65,102.3,113.47,130.46
CC(C)(C)CC(OO)(CO1)C1,-75.44,104.17,50.83,65.64,78.42,88.76,103.96,114.6,130.65
O1CC(C1)(C)C=C(C)C,-24.74,98.69,41.72,53.38,63.67,72.21,85.22,94.64,109.08
O1CC(C1)(C)CC(C)=C,-25,89.08,38.88,51.02,61.69,70.58,84.25,94.17,109.45
CC1=C(C)C=CC=C1,4.57,83.51,31.12,40.32,48.57,55.52,66.19,73.87,85.48
C1=CC(CC)=CC=C1,7.31,85.69,30.3,40.36,49.22,56.55,67.63,75.49,87.3
C(O1)C(C1)(C)CC(C)C,-52.9,93.15,42.31,55.6,67.37,77.16,92.09,102.89,119.38
C(O1)C(C)(C)C1C(C)C,-58.99,95.31,44.04,56.66,67.78,77.08,91.47,102.03,118.36
C(O1)C(C)(C)CC1(C)C,-79.63,90.38,41.55,54.58,66.01,75.53,90.19,100.97,117.85
C(O1)C(C)(C)CC(C)C1,-76.94,93.27,41.77,54.78,66.32,76.03,91.06,102.05,118.9
CC(C)(C)C(O1)C1(C)C,-58.97,104.7,47.03,58.82,69.14,77.77,91.2,101.18,116.85
C=CC(C)C(C)C=C,6.34,93.77,39.17,50.26,60.04,68.24,80.94,90.28,104.8
CC(C)(C)C(O1)C(C)C1,-59.11,93.76,41.75,54.35,65.65,75.15,89.86,100.66,117.61
C=CC(C)CC=CC,6.33,104.51,41.09,51.03,60.04,67.69,79.68,88.6,102.55
CC(C)(C)CC(O1)(C)C1,-55.93,101.94,44.64,57.33,68.46,77.68,91.76,102.02,117.87
CC=CCCC=CC,5.91,106.72,40.19,49.9,58.85,66.56,78.78,87.91,102.19
CC(C)(C)CC(CO1)C1,-51.72,96.64,41.82,55.23,67.18,77.07,92,102.68,118.87
C=C(C)CCC(=C)C,3.32,99.24,42.89,52.27,60.79,68.17,80,88.95,103.1
CC(C)(C)C(=O)C(C)C,-81.79,103.9,47.68,59.03,69.12,77.69,91.23,101.38,117.36
C(OO)C(C)(C)CC(C)C,-73.76,112.53,50.04,63.87,76.19,86.53,102.53,114.25,132.43
CC(C)(C)C(OO)C(C)C,-74.26,111.94,53.56,66.7,78.25,87.93,103,114.19,131.79
CC(C)(C)CC(OO)(C)C,-78.6,105.74,53.62,67.82,79.94,89.86,104.93,115.94,133.18
CC(C)(C)CC(C)COO,-74.45,105.81,51.7,65.84,78.22,88.52,104.31,115.83,133.7
O=CC1=C(COO)C=CC=C1,-33.82,98.39,39.68,49.77,58.53,65.7,76.28,83.56,94.17
CC(C)(C)C=C(C)C,-25.35,104.44,44.01,54.17,63.62,71.84,85,94.94,110.65
CC(C)(C)CC(C)=C,-26.65,96.26,45.94,56.36,65.97,74.25,87.32,97.05,112.29
OOCOC1=CC=CC=C1C,-50.87,102.14,43.4,54.76,64.05,71.5,82.64,90.56,102.56
O=CC(COO)(C)CC(C)C,-94.95,108.54,52.25,65.93,77.83,87.69,102.78,113.72,130.53
O=CC1=C(C=O)C=CC=C1,-33.54,91.37,33.11,41.86,49.39,55.56,64.69,70.95,79.92
O=CC(C)(C)C(OO)C(C)C,-96.18,109.59,53.22,66.14,77.53,87.1,101.9,112.74,129.5
CC(C)(C)CC(C)C,-54.42,97.31,43.89,56.92,68.53,78.27,93.35,104.46,121.77
O=CC(C)(C)CC(C)COO,-98.25,106.77,51.76,65.43,77.34,87.26,102.46,113.49,130.44
C12=CC=CC=C1OC=C2,3.2,78.04,27.04,36.48,44.34,50.58,59.54,65.55,74.17
C(OO)C(C)(C)C(=O)C(C)C,-101.72,109.44,53.12,66.39,77.86,87.39,102.06,112.79,129.46
O=C=CC1=CC=CC=C1,14.1,86.34,30.13,38.74,45.9,51.64,60.04,65.83,74.28
CC(C)(C)C(=O)C(OO)(C)C,-102.18,113.86,55.85,68.37,79,87.82,101.53,111.73,127.82
CC(C)(C)C(=O)C(C)COO,-101.24,113.25,53.91,66.53,77.57,86.85,101.29,111.94,128.54
CC1=C(COO)C=CC=C1,-13.41,96.11,39.14,49.53,58.55,65.99,77.17,85.08,96.95
CC1=CC=C(COO)C=C1,-13.61,99.39,37.64,48.47,57.9,65.67,77.28,85.44,97.62
CC(=C)COOCC(=C)C,-12.36,105.12,46.1,57.84,68.22,76.98,90.59,100.56,115.89
C(OO)C(CO1)(C1)CC(C)C,-72.37,103.28,48.5,63.02,75.76,86.31,102.28,113.72,131.09
c1c2OCCc2ccc1,-12.65,81.45,29.09,39.28,48.07,55.22,65.73,72.97,83.5
CC(CO1)(C1)C(OO)C(C)C,-74.93,103.2,49.65,64.05,76.52,86.77,102.27,113.39,130.38
OC1=CC=CC=C1C=C,-6.02,88.53,33.97,43.21,50.97,57.19,66.3,72.62,82.11
CC(CO1)(C1)CC(OO)(C)C,-77.19,109.33,50.32,64.32,76.8,87.27,103.31,114.9,132.55
CC1=CC=C(C=O)C=C1,-17.45,88.49,31.37,40.54,48.58,55.24,65.27,72.31,82.67
CC(CO1)(C1)CC(C)COO,-72.48,103.96,48.42,62.85,75.53,86.04,102.03,113.51,130.97
C(O1)C(COO)(C)C1C(C)C,-76.85,110.26,51.83,65.01,76.6,86.33,101.37,112.36,129.32
CC1=CC=CC(C1=C)=O,4.54,85.6,33.28,42.57,50.37,56.72,66.22,72.91,82.9
C(O1)C(C)(C)C1C(OO)(C)C,-83.24,106.55,52.58,67,79,88.57,102.8,113.09,129.13
O=CCC1=CC=CC=C1,-11.38,94.26,30.92,40.23,48.32,54.94,64.82,71.72,81.88
C(O1)C(C)(C)C1C(C)COO,-78.23,104.81,50.74,64.85,76.87,86.78,101.97,113.03,130.04
C(O1)C(COO)(C)CC1(C)C,-101.84,101.37,49.26,63.98,76.61,86.94,102.46,113.57,130.51
C(O1)C(C)(C)C(OO)C1(C)C,-100.02,105.34,51.72,65.72,77.72,87.57,102.47,113.21,129.75
C(O1)C(C)(C)CC1(C)COO,-100.03,101.97,49.76,64.37,76.85,87.06,102.45,113.51,130.43
C(O1)C(COO)(C)CC(C)C1,-97.81,101.92,47.61,62.02,74.72,85.3,101.48,113.13,130.8
OCCc1ccccc1,-29.58,90.49,37.07,46.89,55.18,62.01,72.38,79.85,91.26
C(O1)C(C)(C)C(OO)C(C)C1,-96.94,106.02,49.62,63.3,75.37,85.47,100.96,112.17,129.31
C#CCc1ccccc1,73.4,85.88,29.77,39.36,47.44,53.97,63.65,70.44,80.58
C1=CC=C2CC=CC2=C1,38.98,79.79,29.16,39.63,48.49,55.61,66.01,73.15,83.56
CC1=C(C)C=C(C)C=C1,-3.53,93.54,36.64,47.21,56.79,64.91,77.49,86.59,100.4
C1=C(C)C(C=O)=CC=C1C,-25.02,95.17,37.26,47.76,57.05,64.83,76.69,85.1,97.61
CC1=CC(C)=CC(C)=C1,-4.16,95.87,34.96,45.75,55.47,63.68,76.35,85.5,99.36
